"ProductId","ProductName","Category","Quantity","Price"
"11","Mango","Fruits","100","100.0"
"15","Biscuit","Grocery","190","56.0"
"20","Laptop","Electronics","5","55000.0"
"23","Phone","Electronics","10","30000.0"
"101","abc","def","123","1234.0"
"102","abc","def","123","1234.0"
"103","Sony","Audio","40","29990.0"
"104","Nike Air","Footwear","50","9999.0"
"105","Levi’ Jeans","Apparel","80","4599.0"
"106","Asus ROG","Computers","15","159999.0"
"107","Boat Speaker","Audio","60","4999.0"
"108","LG TV","Home Appliance","10","119999.0"
"109","Leather Wallet","Accessories","120","1999.0"
"110","Sunglasses","Accessories","35","8990.0"
"111","Mango","Fruits","100","100.0"
"130","Phone","Electronics","5","10000.0"
"155","Biscuit","Grocery","190","56.0"
"209","Laptop","Electronics","5","55000.0"
"210","Laptop","Electronics","5","55000.0"
"211","Laptop","Electronics","5","55000.0"
"1011","Apple 15","Electronics","25","79999.0"
"1022","Samsung  S24","Electronics","30","74999.0"
"1111","Mango","Fruits","100","100.0"
