"ProductId","ProductName","Category","Quantity","Price"
"1","Wireless Mouse","Electronics","150","19.99"
"2","Mechanical Keyboard","Electronics","5","59.99"
"3","USB-C Charger","Electronics","200","24.5"
"4","Headphones","Electronics","75","129.0"
"5","4K Monitor","Electronics","3","349.99"
"6","Office Chair","Furniture","60","179.0"
"7","Standing Desk","Furniture","7","399.99"
"8","LED Desk Lamp","Furniture","120","39.5"
"9","Water Bottle","Accessories","250","15.0"
"10","Backpack","Accessories","180","49.99"
"11","Smartphone","Electronics","100","799.0"
"12","Tablet","Electronics","2","499.0"
"13","External Hard Drive","Electronics","110","89.99"
"14","Bluetooth Speaker","Electronics","130","59.0"
"15","Wireless Earbuds","Electronics","200","99.0"
"16","Coffee Maker","Appliances","70","129.99"
"17","Microwave Oven","Appliances","9","199.99"
"18","Electric Kettle","Appliances","90","49.99"
"19","Fitness Tracker","Wearables","150","129.0"
"20","Smartwatch","Wearables","100","249.0"
